charger id,current,delta_current,voltage,delta_voltage,power (W),expected_load,status,location,temperature,class
101,15.2,0.5,480.1,1.1,7296.5,7300,CHARGING,"(40.71, -74.01)",35.5,0
102,0.0,0.0,0.0,0.0,0.0,0,IDLE,"(34.05, -118.24)",22.1,0
103,25.1,15.0,450.5,30.2,11300.0,8000,ERROR,"(51.51, -0.13)",65.9,1
104,18.0,-0.1,480.0,0.0,8640.0,8640,CHARGING,"(48.86, 2.35)",33.7,0
105,35.5,5.2,550.9,70.4,19550.0,10000,SAFE MODE,"(35.68, 139.69)",78.2,2
106,1.5,0.0,240.5,0.1,360.75,360,OFF,"(55.75, 37.62)",28.9,0
107,45.0,0.1,481.0,0.5,21645.0,21640,CHARGING,"(39.90, 116.41)",38.0,0
108,10.0,8.0,300.0,-150.0,3000.0,15000,ERROR,"(19.43, -99.13)",55.0,1
109,50.0,20.0,600.0,100.0,30000.0,15000,SAFE MODE,"(52.52, 13.40)",95.1,2
110,20.2,-0.5,479.5,-0.5,9685.9,9700,CHARGING,"(34.05, -118.24)",34.1,0
111,1.56,-1.24,16.1,-1.0,63.7,0,IDLE,"(40.99, -73.97)",22.6,0
112,25.9,-0.77,416.5,-10.25,10081.6,8523,CHARGING,"(28.77, 76.99)",25.3,0
113,7.95,0.05,522.4,-0.65,4224.5,7351,CHARGING,"(35.72, 139.66)",31.1,0
114,109.63,7.13,498.8,33.49,53399.6,5037,ERROR,"(42.01, 12.66)",55.5,1
115,0.0,0.02,1.4,1.84,0.0,0,OFF,"(-33.94, 151.06)",18.0,0
116,23.93,-1.27,431.8,2.11,10401.0,8630,CHARGING,"(52.33, 13.59)",29.6,0
117,0.0,0.66,1.1,-0.83,4.2,0,OFF,"(35.56, 139.84)",25.3,0
118,17.16,0.47,553.6,2.17,9271.6,6868,CHARGING,"(40.66, -73.96)",26.7,0
119,17.32,-0.18,583.4,-2.44,10264.2,11367,CHARGING,"(51.46, -0.1)",38.7,0
120,0.7,0.51,0.0,0.07,10.8,3,IDLE,"(35.54, 139.52)",14.3,0
121,2.79,-0.96,0.0,-0.43,16.3,0,IDLE,"(37.97, -122.34)",15.1,0
122,4.5,55.8,572.6,-2.93,2723.0,2776,SAFE MODE,"(28.4, 77.12)",59.3,2
123,14.26,-0.31,574.8,-6.29,7873.0,11005,CHARGING,"(48.85, 2.27)",44.8,0
124,0.12,-0.62,0.1,2.02,0.0,0,OFF,"(40.79, -73.86)",30.3,0
125,0.47,0.43,8.9,-0.39,0.0,5,IDLE,"(51.61, -0.34)",26.8,0
126,0.0,0.12,15.9,0.74,0.0,74,IDLE,"(-34.19, 151.21)",20.7,0
127,0.0,0.82,1.0,0.43,71.8,0,OFF,"(34.09, -118.19)",24.3,0
128,13.58,0.89,403.7,-2.67,5421.6,7661,ERROR,"(35.64, 139.55)",48.9,1
129,0.0,-0.25,15.0,-2.09,1.3,0,IDLE,"(-33.94, 151.12)",20.6,0
130,20.74,0.55,451.0,-0.1,9245.6,10779,CHARGING,"(40.84, -74.01)",30.7,0
131,0.34,-0.13,0.0,-0.03,19.9,0,OFF,"(37.81, -122.47)",24.5,0
132,34.97,0.37,519.6,-1.37,18790.9,10970,CHARGING,"(-33.74, 151.39)",31.7,0
133,5.0,0.67,584.4,-4.03,2755.9,6688,CHARGING,"(51.43, -0.23)",31.8,0
134,31.93,-0.54,472.1,-5.19,15910.2,8408,CHARGING,"(52.5, 13.42)",31.8,0
135,31.18,-0.26,604.8,10.47,19103.4,12349,CHARGING,"(-33.75, 151.18)",37.1,0
136,0.0,2.58,486.0,39.52,63.1,2414,ERROR,"(34.04, -117.93)",51.4,1
137,2.16,-0.51,460.3,0.16,976.5,2835,SAFE MODE,"(52.74, 13.85)",49.9,1
138,5.05,0.14,412.3,2.08,2306.8,4900,CHARGING,"(41.8, 12.54)",30.9,0
